,Player,Age,Team,Pos1,Pos2,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,DrbP,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB
136,Marko Jevtovic,26,KON,DMC,,2325,2,-,10,1,0.7,82.1,2,1,6.73,2,1.6,1.4,0.1,1.9,1.3,0.4,-,0.3,0.1,1.2,-,0.2,0.7,41.6,0.1,2.2,0.1
137,Nejc Skubic,30,KON,D(R),,2776,2,3,6,1,0.4,82.4,1.2,-,6.73,1.7,1,0.4,0.2,1.8,0.5,0.2,-,0.9,0.3,1.6,0.1,0.5,0.8,38.8,0.6,1.1,-
138,Beto,37,GOZ,GK,,2965,-,-,3,-,-,77.1,0.4,2,6.73,-,0.1,-,-,0.5,-,-,-,-,-,0.3,-,-,-,33.7,-,9.4,-
139,João Pereira,35,TS,D(R),,1864,-,5,6,-,0.4,85.6,0.4,-,6.73,1.6,0.8,0.9,-,1.4,0.6,-,-,1.4,0.5,1.4,0.1,1.1,1.5,47.2,1,1.4,-
140,Souleymane Doukara,27,ANT,AM(L),FW,1923,10,2,4,1,1.6,74.7,2,2,6.73,0.2,0.2,1.2,-,0.9,0.2,0.1,-,0.7,1,1,1.1,1.6,2.5,21,0.2,0.6,0.1
141,Baris Yardimci,26,BUR,D(CR),M(R),2259,-,-,4,-,0.2,73.4,1.1,-,6.72,1.7,1.7,1,0.3,1.9,0.9,0.1,-,0.8,0.8,1.5,-,0.7,0.9,37.7,0.7,3,-
142,Caner Erkin,30,BJK,D(L),M(L),2075,1,1,11,1,0.9,73.6,1.3,1,6.71,1.4,1,1.4,0.4,1.5,0.6,0.4,1,1.1,0.5,0.6,-,0.5,0.9,41.3,1.3,2.9,-
143,Seyed Majid Hosseini,23,TS,D(C),,2038,-,-,4,-,0.1,87.2,1.8,-,6.71,1.6,1.8,0.6,0.4,4.2,0.2,0.6,-,0.1,0.2,0.4,-,0.3,0.4,33.8,-,1.5,-
144,Ferhat Öztorun,32,KON,D(L),,1568,-,-,6,-,0.3,73.2,1.4,1,6.71,1.9,2.5,1.4,0.2,2.6,0.9,0.2,-,0.5,0.2,1.1,0.1,0.5,0.6,24.9,0.7,1,-
145,Guray Vural,31,AKH,D(L),M(LR),2222,2,3,4,-,1.3,79.8,0.7,1,6.71,1.3,1.1,0.7,0.1,1.5,1.1,0.1,-,1.3,0.9,0.6,0.4,0.9,1.8,40.9,1.3,1.3,-
146,Deni Milosevic,24,KON,AM(CLR),FW,2440,1,4,3,-,1.2,87.4,0.6,1,6.71,1.6,0.5,1.1,-,0.3,0.8,-,-,0.9,1.1,0.8,0.1,1.8,1.9,34.4,0.2,0.7,0.1
147,Yalcin Ayhan,37,ANK,D(C),,1285,-,-,2,-,0.3,75.5,2.7,1,6.71,0.4,1.2,0.3,0.4,6.5,0.3,0.5,-,0.1,0.1,0.5,0.1,0.1,0.2,24.2,0.1,2.6,-
148,Junior Fernandes,30,ALN,AM(LR),FW,1360,7,3,-,-,2.3,73.2,1.3,-,6.7,0.4,0.5,1,-,0.4,0.6,-,-,0.5,1,0.5,0.3,1.2,1.6,21.1,0.1,0.6,-
149,Egemen Korkmaz,36,ERZ,D(C),,1632,1,-,5,1,0.6,85.4,2.5,1,6.7,1.1,1.2,1.1,0.4,5.4,0.4,0.7,-,0.2,0.1,1.1,0.1,0.1,0.4,37.1,-,2.3,-
150,Ceyhun Gülselam,31,ALN,M(C),,2118,-,2,9,1,0.6,80.1,2.6,-,6.7,2.4,1.4,2.5,-,1,1.3,0.2,-,0.5,0.3,0.9,-,0.5,1,39.5,0.1,2.5,0.1
151,André Ayew,29,FB,M(CLR),FW,2054,5,-,4,-,1.3,76,2.2,2,6.7,1.2,0.4,1.1,-,0.5,0.4,0.1,-,0.4,0.9,1.3,0.1,1.1,1.8,25.2,0.1,0.4,-
152,Ozan Tufan,24,ALN,M(CR),,1266,-,-,2,-,1.2,79.7,0.6,-,6.7,1.4,1.1,1.6,-,1,0.6,0.2,-,1.2,0.6,1.3,-,0.8,1.2,25.2,0.8,1.5,0.1
153,Iasmin Latovlevici,33,BUR,D(L),M(L),1705,3,2,3,-,1.1,73.1,1,1,6.69,1.4,0.7,1.2,0.1,1.2,0.9,0.1,-,1.2,0.4,0.2,0.1,1.5,1.6,24.1,1.1,1.5,-
154,Abdullah Durak,32,RIZE,DMC,,1069,-,1,2,1,0.4,81.3,1.7,-,6.68,2.2,1,1.1,-,1.8,1.8,0.2,-,0.5,0.3,0.7,-,0.1,0.5,25.4,-,1.9,0.1
155,Andre Biyogo Poko,26,GOZ,D(R),M(CR),1863,1,1,7,1,0.4,71,0.9,1,6.68,3,1.3,1.7,-,1.1,1.6,0.1,-,0.5,1,0.8,-,1.4,1.6,27.7,0.1,1.9,-
156,Muhammet Demir,27,SIV,FW,,1129,4,1,2,-,2.1,76.4,2.7,-,6.68,0.3,0.1,0.8,-,0.6,0.4,0.1,-,0.8,0.9,1.1,0.2,1.5,1.7,15,-,0.3,-
157,Lamine Gassama,29,GOZ,D(R),,2356,-,-,6,-,-,79,0.6,-,6.68,1.5,1.6,0.8,0.2,1.1,0.4,-,-,0.4,1.4,2.5,-,0.8,1.1,31.8,0.8,1.5,-
158,Erkan Kas,27,YMS,D(L),M(L),1217,-,1,2,1,0.1,74.9,0.8,-,6.68,1.4,1.4,0.8,0.1,1.5,0.6,0.1,-,0.3,1.1,0.9,-,0.6,0.9,25.8,0.4,0.9,-
159,Issam Chebake,29,YMS,D(R),,2358,-,2,5,1,0.3,73,1.6,-,6.67,1.7,0.9,0.9,0.3,2.2,0.3,0.2,-,0.7,0.7,1.6,0.1,0.8,1.3,26.3,0.5,2.3,-
160,David Pavelka,28,KAS,M(C),,2272,1,3,6,1,1,87,1.4,-,6.67,1.8,1.2,1.9,-,1,1.1,0.3,-,1.1,0.7,1,0.1,0.5,1.1,47.8,0.1,1.8,-
