,Player,Age,Team,Pos1,Pos2,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,DrbP,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB
203,Isaac Sackey,25,ALN,DMC,,1417,-,-,5,2,1.1,71.9,2.3,-,6.53,2.4,1.2,1.3,-,0.9,0.5,0.1,-,0.1,0.6,0.5,-,0.7,0.8,26.9,-,1.7,-
204,Mehmet Uslu,31,RIZE,D(L),,1472,-,1,1,-,0.2,78.5,1.2,-,6.52,1.3,0.7,0.6,-,2.2,0.5,0.2,-,0.6,0.2,0.4,-,0.2,0.7,33.5,0.6,2.1,0.1
205,Yusuf Erdogan,26,BUR,D(L),M(LR),1717,2,3,4,-,1.7,64.6,1.2,1,6.52,0.9,0.3,1.2,-,0.1,0.8,-,-,1.3,0.6,1.3,0.2,1.4,2.2,16.1,1.5,0.3,-
206,Roman Neustädter,31,FB,D(C),M(C),1875,1,-,3,1,0.3,87.6,1.9,-,6.52,1.1,1.1,1,0.6,3.1,0.5,0.6,1,0.2,0.1,0.4,-,-,0.3,51.8,-,4.1,-
207,Özgür Cek,28,KAS,D(L),M(L),647,-,4,-,-,0.2,75.9,0.5,-,6.51,1,0.5,0.5,0.1,0.8,0.6,-,1,0.9,0.5,0.9,-,0.5,0.6,13.9,0.6,0.7,-
208,Selcuk Inan,34,GS,M(C),,1035,-,1,3,-,0.8,82.4,0.3,-,6.51,0.9,0.4,0.9,-,0.8,1,0.1,-,0.7,0.4,0.6,-,0.4,0.5,36.4,0.8,2.1,-
209,Gilles Sunu,28,ERZ,AM(LR),FW,1950,4,1,5,-,1.6,78.7,1.5,-,6.51,0.4,0.1,0.7,-,0.4,0.1,0.1,-,0.5,0.8,1.4,0.4,1.8,1.8,21.8,0.4,0.3,-
210,Tolga Unlu,29,ERZ,D(R),,1469,-,-,3,-,0.1,75.2,0.7,-,6.5,1.7,0.9,1.2,0.3,1.8,0.7,-,-,0.4,0.6,0.7,0.1,0.3,0.6,36.7,0.3,2.2,0.1
211,Harun Tekin,30,FB,GK,,1980,-,-,4,-,-,62,0.3,1,6.5,-,-,-,-,1,-,-,-,-,-,0.2,-,-,-,25.9,-,7.1,-
212,Serdar Özkan,32,ANT,AM(L),,1070,2,1,-,-,0.6,74.9,0.2,2,6.5,0.5,0.5,0.3,-,0.1,0.5,-,-,0.8,1.2,1.9,0.2,0.9,1.4,13.5,0.1,0.3,0.1
213,Aykut Ceviker,29,AKH,D(R),M(C),1373,-,1,3,-,0.3,75.9,0.3,-,6.49,1.7,1.5,1.4,-,1.3,1.1,0.2,-,0.4,0.5,0.4,-,0.6,0.9,27.9,0.2,1.5,-
214,Eljero Elia,32,IBFK,AM(LR),FW,1040,1,1,4,-,0.5,78,0.1,-,6.49,1,0.1,1.1,-,0.4,0.7,0.1,-,0.9,1,0.8,0.4,1,1.2,18,0.3,0.5,-
215,Yekta Kurtulus,33,ANT,M(C),,1259,1,2,5,-,0.5,84.4,0.6,-,6.49,0.8,0.7,0.7,-,0.5,0.7,0.2,-,0.5,0.4,0.6,-,0.4,0.3,27.2,0.3,1.9,-
216,Bilal Basacikoglu,24,KAY,AM(LR),,1209,-,-,3,-,1.1,74.6,0.8,1,6.49,1.4,0.5,1.1,-,0.4,0.4,-,-,0.6,1.6,1.2,0.4,1.6,1.7,14,0.3,0.8,-
217,Riad Bajic,25,IBFK,AM(C),FW,1095,6,-,2,-,0.9,79.3,0.5,-,6.49,0.2,0.1,0.5,-,0.1,0.1,-,-,0.3,0.3,0.9,0.2,0.9,1.4,9.5,-,0.3,-
218,Murat Yildirim,32,YMS,M(C),,2287,-,-,6,-,0.3,85.6,0.3,-,6.48,1.9,1.1,1.8,0.1,1,1.2,0.3,-,0.5,0.5,1,-,0.4,1.3,37.9,0.1,2.4,0.1
219,Delvin N'Dinga,31,SIV,M(C),,1750,1,1,3,-,0.9,80.9,1.3,-,6.48,1.5,0.5,1,-,1.2,1.1,0.2,-,0.8,0.3,0.5,-,0.8,1,43.9,-,3.3,0.1
220,Jeremy Bokila,30,AKH,FW,,789,4,1,2,-,1.3,67.4,1.8,1,6.48,0.3,-,2.3,-,0.3,0.1,0.1,-,0.8,0.3,0.8,0.7,0.8,1.8,8.6,0.1,-,-
221,Cenk Ahmet Alkilic,31,ALN,D(R),M(R),958,-,3,2,-,0.2,71.1,0.4,-,6.48,1.4,0.5,0.7,0.1,0.5,0.5,0.2,-,0.8,0.8,1.1,0.1,0.6,0.8,16.1,0.9,0.9,0.1
222,Orhan Ovacikli,30,RIZE,D(R),,1079,-,-,5,1,0.1,72.4,0.9,-,6.48,2.9,0.6,0.9,0.1,2.1,0.6,0.4,-,0.3,-,0.9,-,0.1,0.4,22.2,0.6,1.1,-
223,Ömer Sismanoglu,29,YMS,AM(C),FW,651,5,1,4,-,0.9,72.7,1,-,6.48,0.1,-,1.1,-,0.5,0.4,-,-,0.4,0.3,0.4,0.3,0.7,0.8,8,-,-,-
224,Burak Kapacak,19,BUR,D(R),M(R),797,-,-,3,-,0.4,69.6,1.3,-,6.48,1.3,0.7,1.1,0.3,0.8,0.9,0.1,-,0.4,0.8,0.5,0.1,0.8,1.4,14.2,0.6,0.4,0.1
